Language,Rule Name,number_revisions,number_unique_users,ILLs Total,ILLs in Set,,,
ja,Wikipedia:腕ずくで解決しようとしない,108,58,46,4,37,ja Wikipedia:腕ずくで解決しようとしない,en Wikipedia:Naming conventions (comics)
ja,Wikipedia:自分自身の記事,101,71,47,4,38,ja Wikipedia:自分自身の記事,en Wikipedia:Naming conventions (events)
ja,Wikipedia:荒らし,378,198,99,4,90,ja Wikipedia:荒らし,en Wikipedia:Naming conventions (fauna)
ja,Wikipedia:著作権,155,93,123,4,114,ja Wikipedia:著作権,en Wikipedia:Naming conventions (films)
ja,Wikipedia:言葉を濁さない,171,96,45,4,36,ja Wikipedia:言葉を濁さない,en Wikipedia:Naming conventions (flora)
ja,Wikipedia:記事の所有権,59,37,44,4,35,ja Wikipedia:記事の所有権,en Wikipedia:Naming conventions (music)
ja,Wikipedia:記事名の付け方,637,306,97,4,88,ja Wikipedia:記事名の付け方,en Wikipedia:Naming conventions (people)
,,,,,,,,en Wikipedia:Naming conventions (royalty and nobility)
,,,,,,,,en Wikipedia:Naming conventions (sports teams)
,,,,,,,,en Wikipedia:Naming conventions (television)
,,,,,,,,en Wikipedia:Naming conventions (use English)
,,,,,,,,en Wikipedia:Naming conventions (video games)
,,,,,,,,en Wikipedia:Non-free use rationale guideline
,,,,,,,,en Wikipedia:Notability (astronomical objects)
,,,,,,,,en Wikipedia:Notability (films)
,,,,,,,,en Wikipedia:Page blanking
,,,,,,,,en Wikipedia:Page mover
,,,,,,,,en Wikipedia:Password strength requirements
,,,,,,,,en Wikipedia:Preparing images for upload
,,,,,,,,en Wikipedia:Proposed deletion (books)
,,,,,,,,en Wikipedia:Public domain
,,,,,,,,en Wikipedia:Reviewing good articles
,,,,,,,,en Wikipedia:Set index articles
,,,,,,,,en Wikipedia:Spam blacklist
,,,,,,,,en Wikipedia:Stand-alone lists
,,,,,,,,en Wikipedia:Substitution
,,,,,,,,en Wikipedia:Talk page templates
,,,,,,,,en Wikipedia:Template editor
,,,,,,,,en Wikipedia:Template namespace
,,,,,,,,en Wikipedia:TemplateStyles
,,,,,,,,en Wikipedia:Wikipedia is not for things made up one day
,,,,,,,,es Wikipedia:Acerca de firmar artículos
,,,,,,,,es Wikipedia:Convenciones idiomáticas
,,,,,,,,es Wikipedia:Creación de artículos con bot
,,,,,,,,es Wikipedia:Espacio principal
,,,,,,,,es Wikipedia:Para bibliotecarios
,,,,,,,,es Wikipedia:Política de restauración
,,,,,,,,es Wikipedia:Pseudobots
,,,,,,,,es Wikipedia:Wikipedia no es de papel
,,,,,,,,fr Projet:Hockey sur glace/Conventions/Notoriété
,,,,,,,,fr Wikipédia:Notoriété dans le domaine de la pornographie
,,,,,,,,fr Wikipédia:Notoriété des personnalités politiques
,,,,,,,,fr Wikipédia:Style encyclopédique
,,,,,,,,fr Wikipédia:Traduction automatique
,,,,,,,,fr Wikipédia:Sources de presse
,,,,,,,,ja Wikipedia:プロジェクト間の移動
